"date" "kwh" "htdd" "cldd"
2006-01-01 73.8605 2038 0
2006-02-01 73.9849 1509 0
2006-03-01 69.922 1289 0
2006-04-01 66.0327 638 13
2006-05-01 62.3993 269 37
2006-06-01 90.7134 61 134
2006-07-01 106.0961 18 179
2006-08-01 78.5296 12 116
2006-09-01 60.5337 222 51
2006-10-01 65.6559 520 0
2006-11-01 69.4838 1047 0
2006-12-01 74.9424 1572 0
2007-01-01 75.5559 1986 0
2007-02-01 79.7031 1471 0
2007-03-01 75.0931 1296 0
2007-04-01 70.9385 614 0
2007-05-01 63.7507 351 0
2007-06-01 113.3085 21 193
2007-07-01 92.9876 31 88
2007-08-01 84.2158 34 109
2007-09-01 71.7223 184 78
2007-10-01 69.7151 391 10
2007-11-01 70.1054 994 0
2007-12-01 72.9774 1504 0
2008-01-01 81.8462 1963 0
2008-02-01 87.4441 1649 0
2008-03-01 79.6174 1238 0
2008-04-01 79.3836 763 0
2008-05-01 70.5315 237 65
2008-06-01 89.2464 95 99
2008-07-01 100.0937 42 115
2008-08-01 96.0303 77 157
2008-09-01 69.5587 237 12
2008-10-01 78.0809 723 0
2008-11-01 75.7703 1090 0
2008-12-01 80.9098 1812 0
2009-01-01 84.5492 1654 0
2009-02-01 92.9619 1356 0
2009-03-01 82.1222 859 0
2009-04-01 82.4695 731 0
2009-05-01 61.6074 383 0
2009-06-01 97.3162 22 109
2009-07-01 120.3723 3 173
2009-08-01 108.4972 16 170
2009-09-01 78.4265 214 33
2009-10-01 79.0134 378 10
2009-11-01 79.0541 979 0
2009-12-01 83.3445 1676 0
2010-01-01 89.3436 1747 0
2010-02-01 90.5201 1488 0
2010-03-01 80.4466 1191 0
2010-04-01 81.8282 593 0
2010-05-01 68.5047 379 11
2010-06-01 84.8809 85 57
2010-07-01 138.8008 0 267
2010-08-01 95.2555 54 86
2010-09-01 82.4616 335 6
2010-10-01 94.7896 518 0
2010-11-01 99.6145 1020 0
2010-12-01 100.0418 1428 0
2011-01-01 97.9346 1687 0
2011-02-01 102.4246 1502 0
2011-03-01 91.6409 1474 0
2011-04-01 91.3747 819 0
2011-05-01 83.7351 213 60
2011-06-01 105.9715 65 125
2011-07-01 146.2699 21 247
2011-08-01 119.3191 8 172
2011-09-01 92.2145 296 16
2011-10-01 100.1182 412 11
2011-11-01 108.2382 890 0
2011-12-01 107.8074 1421 0
2012-01-01 110.851 1751 0
2012-02-01 100.4704 1148 0
2012-03-01 101.5276 1107 0
2012-04-01 100.842 507 8
2012-05-01 84.3501 307 0
2012-06-01 108.8466 24 111
2012-07-01 152.5975 1 246
2012-08-01 114.6463 28 162
2012-09-01 94.6111 244 32
2012-10-01 101.8138 770 0
2012-11-01 121.4431 1296 0
2012-12-01 121.4509 1860 0
2013-01-01 120.1612 2246 0
2013-02-01 105.1926 1310 0
2013-03-01 103.3725 876 0
2013-04-01 101.8584 402 16
2013-05-01 104.493 98 73
2013-06-01 108.4667 40 87
2013-07-01 151.655 1 226
2013-08-01 105.6226 65 60
2013-09-01 103.8704 155 23
2013-10-01 109.9789 589 0
2013-11-01 127.3553 1069 0
2013-12-01 129.1928 1702 0
2014-01-01 131.1902 2063 0
2014-02-01 123.255 1714 0
2014-03-01 116.149 1226 0
2014-04-01 115.0006 652 0
2014-05-01 124.3797 275 34
2014-06-01 128.594 72 99
2014-07-01 146.8515 12 130
2014-08-01 127.7398 22 129
2014-09-01 131.764 154 98
2014-10-01 121.5272 626 0
2014-11-01 140.4236 1159 0
2014-12-01 140.1584 1761 0
2015-01-01 141.3017 2238 0
2015-02-01 124.3602 1798 0
2015-03-01 118.3192 1283 0
2015-04-01 121.5111 737 0
2015-05-01 131.6531 346 19
2015-06-01 140.3631 34 105
2015-07-01 176.8768 0 218
2015-08-01 144.6697 51 148
2015-09-01 142.2045 133 50
2015-10-01 139.6856 586 0
2015-11-01 158.1523 1056 0
2015-12-01 148.9944 1302 0
2016-01-01 158.1317 1662 0
2016-02-01 148.713 1564 0
2016-03-01 137.2799 1285 0
2016-04-01 134.7555 589 12
2016-05-01 151.33 223 61
2016-06-01 159.0858 57 107
2016-07-01 186.9268 0 232
2016-08-01 161.3727 12 145
2016-09-01 141.9258 196 36
2016-10-01 139.0265 715 0
2016-11-01 163.7177 956 0
2016-12-01 169.8226 1535 0
2017-01-01 174.3595 1544 0
2017-02-01 159.3909 1285 0
2017-03-01 145.4652 981 0
2017-04-01 137.1093 538 0
2017-05-01 138.8993 331 0
2017-06-01 146.1412 46 66
2017-07-01 189.0743 23 158
2017-08-01 161.3596 29 100
2017-09-01 139.2062 255 11
2017-10-01 139.9826 673 0
2017-11-01 168.8765 941 0
2017-12-01 174.6076 1630 0
2018-01-01 189.4754 2084 0
2018-02-01 172.3687 1478 0
2018-03-01 157.7323 1215 0
2018-04-01 156.4417 779 0
2018-05-01 153.7284 178 23
2018-06-01 154.3531 140 27
2018-07-01 213.521 0 225
2018-08-01 189.0105 52 148
2018-09-01 151.2684 193 47
2018-10-01 143.8414 503 0
2018-11-01 186.2678 1045 0
2018-12-01 178.6589 1298 0
2019-01-01 184.1823 1579 0
2019-02-01 171.917 1241 0
2019-03-01 170.5907 1095 0
2019-04-01 176.0479 829 0
2019-05-01 173.1721 437 0
2019-06-01 189.2203 93 107
2019-07-01 237.4268 9 256
2019-08-01 230.3809 0 241
2019-09-01 180.0353 227 70
2019-10-01 169.8084 602 6
2019-11-01 196.5318 1017 0
2019-12-01 209.1061 2087 0
